,Team,GF,GA,GD,Posession,Expected goals (xG),Total shots,Chances created,Big chances,Accurate passes,Pass success,Fouls conceded,Corners,Offsides,Shots,Shots on target,Shots off target,Blocked shots,Shots woodwork,Shots inside box,Shots outside box,Expected goals (xG),xG first half,xG second half,xG on target (xGOT),xG open play,xG set play,Accurate passes,Own half,Opposition half,Passes,Pass success,Touches,Long balls,Accurate long balls,Crosses,Accurate crosses,Throws,Duels won,Duels,Dribbles attempteds,Dribbles succeeded,Tackles attempted,Tackles succeeded,Aerials won,Interceptions,Yellow cards,Red cards,Saves,Diving saves,Saves inside box,Acted as sweeper,Punches
0,Brentford,2,0,2,35,1.43,8,7,1,201,65%,12,2,1,8,3,5,0,1,7,1,1.43,0.34,1.10,1.00,0.39,1.05,201,106,95,309,65%,479,65,22,9,2,9,51,101,11,7,20,12,17,9,0,0,4,2,2,1,0
1,Arsenal,0,2,-2,65,1.20,22,19,0,488,86%,8,5,1,22,4,14,4,0,13,9,1.20,0.37,0.84,0.37,0.91,0.29,488,205,283,568,86%,776,47,20,22,10,21,50,101,20,9,9,3,20,7,0,0,1,0,1,0,0
2,Manchester United,5,1,4,49,1.47,16,19,2,334,79%,11,5,2,16,8,5,3,0,12,4,1.47,0.88,0.58,1.64,1.39,0.07,334,193,141,422,79%,604,47,25,11,1,25,38,89,24,12,6,4,11,8,1,0,2,1,0,0,0
3,Leeds United,1,5,-4,51,0.60,10,8,2,343,78%,9,4,3,10,3,6,1,0,3,7,0.60,0.22,0.38,1.01,0.37,0.23,343,242,101,438,78%,623,62,23,14,4,15,51,89,12,9,23,13,9,14,2,0,3,1,1,1,2
4,Burnley,1,2,-1,36,1.40,14,10,1,181,70%,10,7,1,14,3,8,3,2,8,6,1.40,1.03,0.36,0.94,0.34,1.06,181,76,105,259,70%,463,50,17,36,5,20,61,110,18,12,16,12,26,10,2,0,4,0,4,0,0
5,Brighton & Hove Albion,2,1,1,64,1.73,14,12,2,424,82%,7,6,0,14,8,4,2,0,12,2,1.73,0.29,1.44,1.11,1.49,0.24,424,273,151,518,82%,705,72,25,14,6,22,49,110,7,3,16,9,20,6,1,0,2,0,1,0,2
6,Chelsea,3,0,3,62,1.14,13,7,1,623,92%,15,5,0,13,6,5,2,0,5,8,1.14,0.98,0.16,1.67,0.85,0.29,623,249,374,678,92%,834,52,38,22,4,17,46,98,14,8,21,9,7,11,0,0,1,1,1,0,0
7,Crystal Palace,0,3,-3,38,0.29,4,4,0,363,86%,11,2,1,4,1,2,1,0,4,0,0.29,0.00,0.29,0.18,0.11,0.18,363,264,99,423,86%,590,39,18,5,3,13,52,98,20,13,11,7,15,9,0,0,3,3,2,1,1
8,Everton,3,1,2,48,2.09,14,14,2,235,70%,13,6,0,14,6,5,3,0,11,3,2.09,0.36,1.72,2.96,1.65,0.44,235,113,122,337,70%,564,68,26,25,6,23,68,129,14,7,23,9,25,6,2,0,2,1,2,1,1
9,Southampton,1,3,-2,52,0.78,6,5,1,256,69%,15,8,0,6,3,1,2,0,5,1,0.78,0.50,0.28,1.09,0.49,0.29,256,114,142,370,69%,581,49,10,22,4,17,61,129,23,10,21,12,19,5,0,0,3,2,2,0,2
10,Leicester City,1,0,1,56,0.51,9,9,0,505,86%,6,5,5,9,5,3,1,0,6,3,0.51,0.37,0.14,1.18,0.51,0.00,505,329,176,584,86%,781,35,16,7,2,21,42,101,20,7,15,11,10,11,1,0,3,2,2,1,0
11,Wolverhampton Wanderers,0,1,-1,44,1.49,17,12,1,366,83%,10,4,4,17,3,7,7,0,12,5,1.49,0.60,0.89,0.22,1.45,0.04,366,193,173,443,83%,645,58,36,16,6,20,59,101,32,21,20,10,12,13,2,0,4,3,2,0,0
12,Watford,3,2,1,38,0.86,13,13,1,234,74%,18,2,0,13,7,4,2,0,9,4,0.86,0.62,0.24,1.57,0.67,0.19,234,156,78,317,74%,487,63,21,8,2,9,65,127,18,13,15,6,24,9,3,0,0,0,0,0,0
13,Aston Villa,2,3,-1,62,1.25,11,7,1,435,86%,13,4,2,11,2,6,3,0,4,7,1.25,0.09,1.16,1.32,0.38,0.08,435,250,185,508,86%,702,50,28,26,2,17,62,127,16,14,13,11,17,11,1,0,4,2,2,0,0
14,Norwich City,0,3,-3,50,1.61,14,11,1,441,85%,4,3,2,14,3,8,3,0,9,5,1.61,0.16,1.44,1.71,0.36,1.24,441,320,121,520,85%,733,69,34,19,4,16,51,91,18,10,19,13,8,9,1,0,3,1,5,1,0
15,Liverpool,3,0,3,50,1.48,19,16,2,432,84%,14,11,0,19,8,7,4,0,13,6,1.48,0.75,0.73,1.17,1.10,0.38,432,233,199,512,84%,690,44,29,25,6,17,40,91,20,7,16,8,14,5,1,0,3,1,3,0,0
16,Newcastle United,2,4,-2,46,1.79,17,14,1,340,85%,4,7,1,17,3,7,7,0,9,8,1.79,1.48,0.31,1.53,1.25,0.54,340,170,170,401,85%,596,51,26,27,6,14,37,95,23,14,8,5,12,9,1,0,4,1,4,0,0
17,West Ham United,4,2,2,54,3.04,18,15,3,405,86%,3,6,2,18,9,4,5,1,12,6,3.04,0.96,2.08,3.98,1.89,0.36,405,172,233,473,86%,654,38,18,23,4,20,58,95,15,11,23,14,20,7,0,0,1,0,1,0,0
18,Tottenham Hotspur,1,0,1,34,1.17,13,11,0,227,77%,11,3,3,13,3,5,5,0,5,8,1.17,0.43,0.74,0.75,0.85,0.32,227,93,134,293,77%,494,51,25,12,3,13,51,117,19,14,15,9,14,10,2,0,4,1,3,0,0
19,Manchester City,0,1,-1,66,1.91,18,13,2,469,86%,8,11,1,18,4,9,5,0,11,7,1.91,0.87,1.04,0.44,1.03,0.88,469,195,274,548,86%,731,22,9,30,4,14,66,117,27,20,16,11,19,3,1,0,1,1,1,0,0
